subject_no,group,version,filename,Age,vision,sex,right_handed,height_cm,q_score
1,30explicit,ie,ca_0205,26,Y,M,Y,171,3
2,30explicit,ie,cl_1105,24,Y,F,Y,164,3
3,30explicit,ei,hr_1305,19,N,F,Y,169,3
4,30explicit,ie,sk_1705,25,N,F,Y,159,3
5,30explicit,ei,ps_1705,21,N,F,Y,155,3
6,30explicit,ie,sj_1805,20,N,F,Y,156,0
7,30explicit,ei,hf_1805,19,Y,F,Y,167,3
8,30explicit,ie,ns_1905,19,N,F,Y,161,3
9,30explicit,ei,mi_1905,19,Y,M,Y,178,3
10,30explicit,ie,ka_1905,25,N,M,Y,170,3
11,30explicit,ei,ab_1905,18,Y,F,Y,160,1
12,30explicit,ie,dp_2005,23,N,M,Y,163,3
13,30explicit,ei,ho_2405,22,Y,F,Y,167,3
14,30explicit,ie,so_2405,23,N,F,Y,162,1
15,30explicit,ei,mr_2405,21,N,M,Y,190,3
16,30explicit,ie,ra_2505,18,Y,F,Y,168,3
17,30explicit,ei,jw_2505,19,Y,M,Y,170,3
18,30explicit,ie,ah_2505,26,N,F,Y,162,3
19,30explicit,ei,jm_2605,19,Y,M,Y,168,1
20,30explicit,ie,ac_2605,18,Y,F,Y,161,1
21,30explicit,ei,dr_2705,25,N,M,Y,167,3
1,30implicit,ei,gs_3105,19,Y,F,Y,161,1
2,30implicit,ei,bd_3105,20,Y,F,Y,156,1
3,30implicit,ei,aa_0306,20,N,M,Y,183,1
4,30implicit,ei,pa_0416,19,Y,F,Y,151,0
5,30implicit,ie,pe_0416,18,N,F,Y,174,1
6,30implicit,ie,na_1601,18,Y,F,Y,165,1
7,30implicit,ie,sm_1601,27,Y,F,Y,169,1
8,30implicit,ei,as_1601,18,N,F,Y,169,1
9,30implicit,ie,ag_0906,20,Y,M,Y,183,3
10,30implicit,ei,ya_0906,25,N,M,Y,176,0
11,30implicit,ie,te_1306,21,N,F,Y,166,1
12,30implicit,ei,az_1306,20,N,F,Y,159,0
13,30implicit,ie,lw_1306,27,Y,F,Y,159,0
14,30implicit,ei,nj_1406,21,N,F,Y,156,1
15,30implicit,ie,sa_1406,23,N,F,Y,161,1
16,30implicit,ei,ay_1506,18,Y,M,Y,169,0
17,30implicit,ie,bh_1506,19,Y,M,Y,171,3
18,30implicit,ei,ma_1506,20,Y,F,Y,158,1
19,30implicit,ie,ja_1606,18,Y,M,Y,172,1
20,30implicit,ei,cf_1706,22,Y,F,Y,159,1
21,30implicit,ie,ec_1706,22,N,M,Y,167,3
22,30implicit,ei,jn_1701,19,N,M,Y,181,0
23,30implicit,ei,fs_1011,19,Y,F,Y,157,1
1,30implicit,ie,zw_2609,18,N,M,Y,166,1
1,60explicit,ie,as_1309,23,N,M,Y,187,3
2,60explicit,ei,at_1609,31,Y,M,Y,173,3
3,60explicit,ie,bb_1609,19,Y,M,Y,178,1
4,60explicit,ei,sm_1909,51,Y,F,Y,165,1
5,60explicit,ie,jr_2209,19,Y,M,Y,180,3
6,60explicit,ei,jw_0410,20,Y,M,Y,169,3
7,60explicit,ie,mn_0610,21,Y,F,Y,176,2
8,60explicit,ei,bs_1710,20,N,M,Y,183,3
9,60explicit,ie,ap_2010,19,N,F,Y,186,3
10,60explicit,ei,gs_1910,19,Y,M,Y,187,3
11,60explicit,ie,me_0311,23,Y,F,Y,174,3
12,60explicit,ei,ae_2211,22,Y,F,Y,178,3
13,60explicit,ei,gk_2811,20,Y,M,Y,174,3
14,60explicit,ie,op_2811,19,N,M,Y,180,3
15,60explicit,ei,ap_1301,19,N,F,Y,161,3
16,60explicit,ie,dc_1901,20,Y,F,Y,160,3
17,60explicit,ei,ps_1801,18,N,F,Y,161,3
18,60explicit,ie,yp_1901,19,Y,F,Y,166,3
19,60explicit,ei,df_2601,20,Y,F,Y,163,3
20,60explicit,ie,jl_2601,20,Y,F,Y,162,3
21,60explicit,ei,tt_1402,29,Y,M,Y,175,2
22,60explicit,ie,sa_2106,18,Y,F,Y,153,3
1,60implicit,ei,nl_3009,20,Y,F,Y,165,1
2,60implicit,ie,nm_3009,18,N,M,Y,180,3
3,60implicit,ei,sp_0310,19,Y,M,Y,178,1
4,60implicit,ie,mc_0410,21,Y,M,Y,175,1
5,60implicit,ei,th_0710,20,N,M,Y,177,2
6,60implicit,ie,mo_0710,20,Y,F,Y,161,1
7,60implicit,ie,al_1411,18,Y,F,Y,161,3
8,60implicit,ei,cm_2710,18,N,M,Y,177,3
9,60implicit,ie,jc_2710,19,Y,F,Y,160,3
10,60implicit,ei,el_2810,19,Y,F,Y,161,3
11,60implicit,ie,mj_1411,19,Y,M,Y,178,1
12,60implicit,ei,kh_1911,46,Y,F,Y,169,3
13,60implicit,ie,am_2211,19,Y,F,Y,148,1
14,60implicit,ei,dy_2511,19,Y,M,Y,168,3
15,60implicit,ie,ht_0109,19,N,M,Y,169,1
16,60implicit,ei,aa_1301,20,Y,M,Y,179,3
17,60implicit,ie,fa_1301,20,Y,F,Y,169,1
18,60implicit,ei,cl_1701,36,Y,F,Y,164,3
19,60implicit,ie,mk_2301,18,N,F,Y,153,3
20,60implicit,ei,ab_2601,19,N,F,Y,158,1
21,60implicit,ie,hk_0702,19,Y,M,Y,168,1
1,cursorjump,ie,mc_2110,19,Y,F,Y,169,1
2,cursorjump,ei,ms_2410,19,Y,M,Y,174,1
3,cursorjump,ie,sk_2410,19,N,F,Y,171,1
4,cursorjump,ei,fk_2510,19,N,F,Y,153,1
5,cursorjump,ie,sm_2510,18,Y,F,Y,162,0
6,cursorjump,ei,ps_2610,21,Y,F,Y,165,1
7,cursorjump,ie,ja_2610,21,Y,M,Y,177,3
8,cursorjump,ei,jl_0211,26,N,M,Y,180,3
9,cursorjump,ei,ns_1311,19,N,F,Y,161,3
10,cursorjump,ie,oi_2006,18,N,F,Y,173,3
11,cursorjump,ei,pa_2006,20,N,M,Y,168,3
12,cursorjump,ie,pn_2106,42,N,F,Y,162,1
13,cursorjump,ei,cr_2106,29,Y,F,Y,163,3
14,cursorjump,ie,cr_2206,26,N,F,Y,165,3
15,cursorjump,ie,jy_2206,20,N,M,Y,172,3
16,cursorjump,ei,ar_1908,23,N,M,Y,187,3
17,cursorjump,ie,cp_1201,18,Y,F,Y,150,3
18,cursorjump,ei,ls_1201,19,N,F,Y,162,3
19,cursorjump,ie,rk_1201,21,Y,F,Y,161,3
20,cursorjump,ei,va_0202,18,N,F,Y,167,3
21,cursorjump,ie,,,,,,,
1,aging_explicit,ie,mm_2306,65,Y,F,Y,160,3
2,aging_explicit,ei,gj_2906,69,N,F,Y,165,2
3,aging_explicit,ie,mw_3006,75,Y,F,Y,165,1
4,aging_explicit,ei,hb_0407,77,Y,F,Y,166,3
5,aging_explicit,ie,ta_0607,75,Y,M,Y,180,3
6,aging_explicit,ei,gw_1107,75,Y,F,Y,161,
7,aging_explicit,ei,mo_0707,77,Y,M,Y,165,0
8,aging_explicit,ie,mv_0807,72,T,F,Y,165,1
9,aging_explicit,ie,pe_1207,72,Y,F,Y,172,2
1,aging_implicit,ei,jf_0804,78,Y,M,y,176,1
2,aging_implicit,ie,bh_0608,69,Y,M,Y,178,0
3,aging_implicit,ei,ao_1608,66,Y,F,Y,167,1
4,aging_implicit,ie,tf_0831,70,Y,M,Y,163,0
5,aging_implicit,ei,ia_0109,67,Y,F,Y,176,0
6,aging_implicit,ie,bo_1309,80,N,M,Y,184,0
7,aging_implicit,ei,jc_2309,68,Y,F,Y,160,1
8,aging_implicit,ie,mw_2510,71,Y,M,Y,161,1
9,aging_implicit,ei,af_0111,64,Y,M,Y,159,0
1,60implicit,ie,ss_1005,23,Y,F,Y,168,1
2,60implicit,ei,yl_1005,22,N,F,Y,171,3
3,60implicit,ie,sh_1005,31,N,F,Y,163,3
4,60implicit,ei,lf_1105,31,N,F,Y,160,0
5,60implicit,ie,ad_0206,22,N,M,Y,179,1
6,60implicit,ei,id_1105,22,N,F,Y,161,1
7,60implicit,ie,mb_1205,19,N,M,Y,177,3
8,60implicit,ei,rp_1105,25,N,M,Y,173,3
9,60implicit,ie,ts_1505,20,Y,F,Y,156,3
10,60implicit,ei,nb_1505,24,Y,M,Y,182,1
11,60implicit,ie,ss_2505,18,Y,F,Y,160,3
12,60implicit,ei,ud_2605,23,N,M,Y,174,3
13,60implicit,ie,rd_3105,19,Y,F,Y,165,3
14,60implicit,ei,ap_0106,22,N,F,Y,164,1
15,60implicit,ie,sc_0106,23,Y,F,Y,157,1
16,60implicit,ei,mc_0806,38,N,F,Y,164,1
17,60implicit,ie,uh_0206,21,N,F,Y,163,1
18,60implicit,ei,li_0806,20,Y,F,Y,160,1
19,60implicit,ie,jl_1406,21,N,F,Y,155,3
20,60implicit,ei,ho_1406,34,N,F,Y,168,0
21,60implicit,ie,dd_1506,19,N,M,Y,183,1
22,60implicit,ei,ej_2106,20,Y,M,Y,168,1
23,60implicit,ie,cg_2206,30,Y,F,Y,171,3
24,60implicit,ei,pb_2306,19,N,F,Y,169,1
25,60implicit,ie,rb_2306,23,N,M,Y,188,3
,,,sn_1205,19,N,F,Y,162,0
1,60explicit,ei,da_1505,26,Y,M,Y,176,1
2,60explicit,ie,at_1605,19,N,F,Y,160,3
3,60explicit,ei,ys_1605,23,Y,F,Y,163,3
4,60explicit,ie,im_1705,18,N,F,Y,173,3
5,60explicit,ei,ap_1705,19,N,M,Y,169,3
6,60explicit,ie,sm_1805,19,Y,M,Y,170,3
7,60explicit,ei,cn_2205,18,Y,F,Y,156,3
8,60explicit,ie,tp_2405,18,N,F,Y,164,3
9,60explicit,ei,ns_2405,21,N,F,Y,170,3
10,60explicit,ie,sd_2505,22,N,F,Y,170,1
11,60explicit,ei,nj_3105,19,N,M,Y,183,3
12,60explicit,ie,ak_0106,19,N,F,Y,160,3
13,60explicit,ei,mb_0206,25,Y,M,Y,175,3
14,60explicit,ie,bg_0705,22,Y,F,Y,156,1
15,60explicit,ei,vb_0706,25,N,M,Y,169,3
16,60explicit,ie,mw_0706,20,N,F,Y,165,3
17,60explicit,ei,mp_0906,19,N,F,Y,174,3
18,60explicit,ie,he_0906,18,Y,F,Y,163,0
19,60explicit,ei,pa_0906,23,N,F,Y,167,0
20,60explicit,ie,fm_1406,22,Y,F,Y,160,1
21,60explicit,ei,ag_1606,22,Y,F,Y,165,0
22,60explicit,ie,rr_2206,21,N,F,Y,153,3
23,60explicit,ei,ym_2206,22,N,F,Y,167,3
1,handview,ie,bb_3233,20,Y,F,Y,165,3
2,handview,ei,rg_0410,23,N,M,Y,,
3,handview,ie,bd_3235,18,Y,F,Y,176,0
4,handview,ei,bc_3234,24,Y,M,Y,171,3
5,handview,ie,be_3236,20,N,F,Y,175,3
6,handview,ei,bf_3237,21,N,M,Y,182,3
7,handview,ie,bg_3238,18,N,F,Y,159,3
8,handview,ei,bh_3239,20,Y,F,Y,158,3
9,handview,ie,bi_3240,17,N,F,Y,154,3
10,handview,ei,bj_3241,30,Y,F,Y,176,1
11,handview,ie,bk_3242,19,Y,F,Y,149,3
12,handview,ei,bl_3243,19,N,F,Y,160,3
13,handview,ie,bm_3244,21,Y,F,Y,175,3
14,handview,ei,bn_3245,18,N,F,Y,152,3
15,handview,ie,bo_3246,23,N,F,Y,161,1
16,handview,ei,bp_3247,18,N,M,Y,179,3
17,handview,ie,bq_3248,17,N,F,Y,162,3
18,handview,ei,br_3249,19,N,F,Y,162,3
19,handview,ie,bs_3250,19,Y,F,Y,173,3
20,handview,ei,bt_3251,19,N,F,Y,167,3
21,handview,ie,bu_3252,18,N,F,Y,180,3
22,handview,ei,bv_3253,20,N,F,Y,165,3
23,handview,ie,bw_3254,18,N,F,Y,179,3
24,handview,ei,bx_3255,18,N,F,Y,168,3
25,handview,ie,by_3256,18,N,F,Y,168,0
26,handview,ei,bz_3257,33,N,F,Y,161,3
27,handview,ie,ca_3259,18,Y,M,Y,199,3
28,handview,ei,cb_3260,17,N,F,Y,156,3
29,handview,ei,cc_3261,18,N,M,Y,186,3
1,handview,ie,bb_3232,25,Y,F,Y,160,1
